Country,ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
France,Whiteleg skate,"Indian Ocean, Antarctic",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Dogfish sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,16,235,271
Germany,Dogfish sharks nei,"Atlantic, Northwest",Capture production,Tonnes - live weight,23,16,12,60,45,36,42,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Germany,Dogfish sharks nei,"Pacific, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Greenland shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Kitefin shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Leafscale gulper shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Rays and skates nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,95,57,14,12,121,134,109,103,84,36,56,6,3,20,57,35,65,74,81,102,130
Germany,Rays and skates nei,"Atlantic, Northwest",Capture production,Tonnes - live weight,14,39,104,261,355,179,200,176,155,121,0,0,0,0,2,0,0,0,0,0,0
Germany,"Rays, stingrays, mantas nei","Atlantic, Antarctic",Capture production,Tonnes - live weight,9,43,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,"Rays, stingrays, mantas nei","Atlantic, Eastern Central",Capture production,Tonnes - live weight,0,22,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,"Rays, stingrays, mantas nei","Atlantic, Southeast",Capture production,Tonnes - live weight,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,"Rays, stingrays, mantas nei","Atlantic, Southwest",Capture production,Tonnes - live weight,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Germany,"Sharks, rays, skates, etc. nei","Atlantic, Eastern Central",Capture production,Tonnes - live weight,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,"Sharks, rays, skates, etc. nei","Atlantic, Southwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
