,species,body.mass,brain.mass,bearing.mode,trophic.mode,repro.coarse,max.size,habitat,mean.depth
132,Pristiophorus_cirratus,1080,1.66,live-bearing,lecithotroph,lecithotrophic_lb,149,Shelf,91
133,Centrophorus_moluccensis,2960,3.855,live-bearing,lecithotroph,lecithotrophic_lb,100,Deep,475
134,Centrophorus_granulosus,1360,3.16,live-bearing,lecithotroph,lecithotrophic_lb,128,Deep,700
135,Centrophorus_squamosus,13800,4.448,live-bearing,lecithotroph,lecithotrophic_lb,145,Deep,1294
136,Centrophorus_harrissoni,1159,3.206,live-bearing,lecithotroph,lecithotrophic_lb,112,Deep,575
137,Deania_quadrispinosum,1750,3.47,NA,NA,NA,NA,NA,NA
138,Deania_calcea,5400,5.558,live-bearing,lecithotroph,lecithotrophic_lb,119,Deep,850
139,Dalatias_licha,24000,3.37,live-bearing,lecithotroph,lecithotrophic_lb,182,Deep,918
140,Isistius_brasiliensis,540,0.37,live-bearing,lecithotroph,lecithotrophic_lb,50,Pelagic,1792
141,Squaliolus_laticaudus,60,0.44,live-bearing,lecithotroph,lecithotrophic_lb,28,Deep,350
142,Etmopterus_lucifer,196.6666667,0.7378,live-bearing,lecithotroph,lecithotrophic_lb,42,Deep,717
143,Etmopterus_baxteri,2228.333333,1.924233333,NA,NA,NA,NA,NA,NA
144,Etmopterus_spinax,670,2.43,live-bearing,lecithotroph,lecithotrophic_lb,45,Deep,350
145,Oxynotus_paradoxus,2400,3.434,live-bearing,lecithotroph,lecithotrophic_lb,118,Deep,492
146,Oxynotus_bruniensis,2542.5,2.2526,live-bearing,lecithotroph,lecithotrophic_lb,91,Deep,273
147,Centroscymnus_owstonii,2757.5,3.3322,live-bearing,lecithotroph,lecithotrophic_lb,120,Deep,1000
148,Centroscymnus_coelolepis,12200,5.478,live-bearing,lecithotroph,lecithotrophic_lb,120,Deep,1975
149,Centroselachus_crepidater,1050,2.834666667,live-bearing,lecithotroph,lecithotrophic_lb,99.5,Deep,940
150,Proscymnodon_plunketi,6512.5,4.19875,live-bearing,matrotroph,matrotrophic_lb,170,Deep,823
151,Scymnodon_ringens,2590,5.023,live-bearing,matrotroph,matrotrophic_lb,110,Deep,800
152,Somniosus_microcephalus,280000,10.29,live-bearing,matrotroph,matrotrophic_lb,700,Deep,400
153,Cirrhigaleus_australis,5367.06,6.778,live-bearing,lecithotroph,lecithotrophic_lb,123,Deep,500
154,Squalus_acanthias,946.3833333,2.755913744,live-bearing,lecithotroph,lecithotrophic_lb,110,Shelf,450
155,Squalus_melanurus,1115,3.27,NA,NA,NA,NA,NA,NA
156,Squalus_griffini,3980.333333,4.960381758,NA,NA,NA,NA,NA,NA
157,Squalus_megalops,423.8,2.241,live-bearing,lecithotroph,lecithotrophic_lb,78.2,Deep,391
158,Squatina_squatina,6000,2.061,live-bearing,lecithotroph,lecithotrophic_lb,244,Shelf,75
